index;Nitrogen Dioxide(NO2);PM 2.5(PM2.5);Solar Radiation(SR);Temperature(TEMP);Sulfur Dioxide(SO2)
 25/02/2017;31.65;88.48;325.34;23.05;8.66
 25/03/2017;26.48;330.13;238.97;29.59;2.23
 25/04/2017;25.05;112.69;259.27;34.16;3.00
 25/05/2017;29.97;103.98;173.66;37.63;6.53
 25/06/2017;2.37;403.19;171.27;44.79;15.34
 25/07/2017;27.37;45.57;73.71;56.64;5.48
 25/08/2017;22.98;59.74;105.48;33.03;8.34
 25/09/2017;33.60;76.88;119.40;32.26;4.77
 25/10/2017;42.94;135.62;71.11;29.87;16.38
 25/11/2017;61.00;200.40;63.95;22.45;16.04
 25/12/2017;25.92;297.92;88.85;25.00;27.63
 26/01/2017;31.93;107.24;37.24;17.24;11.80
 26/02/2017;31.19;96.67;329.49;22.44;10.62
 26/03/2017;25.55;185.82;259.49;30.21;2.02
 26/04/2017;26.62;87.63;253.31;34.09;NA
 26/05/2017;32.76;126.03;187.47;38.11;6.16
 26/06/2017;2.35;131.91;156.16;43.93;15.51
 26/07/2017;62.69;43.91;183.53;31.59;3.87
 26/08/2017;20.29;59.46;115.52;32.22;7.84
 26/09/2017;26.73;68.55;109.24;32.51;7.05
 26/10/2017;56.68;77.67;51.01;28.93;9.29
 26/11/2017;67.54;235.58;45.01;22.25;16.77
 26/12/2017;30.59;211.49;94.07;24.91;17.53
 27/01/2017;26.84;110.17;175.76;19.58;8.22
 27/02/2017;31.08;97.84;295.09;24.37;9.27
 27/03/2017;28.42;310.30;255.80;32.18;4.35
 27/04/2017;22.89;94.28;223.85;34.21;NA
 27/05/2017;23.53;116.24;193.27;36.79;4.09
 27/06/2017;7.84;974.76;161.64;46.31;12.00
 27/07/2017;1.92;1.47;4.57;1.17;NA
 27/08/2017;20.74;54.03;138.21;32.64;7.78
 27/09/2017;27.71;111.76;115.60;32.68;6.69
 27/10/2017;48.72;166.73;64.91;30.49;8.17
 27/11/2017;62.13;218.64;59.20;22.37;11.80
 27/12/2017;33.82;207.01;94.83;25.23;14.17
 28/01/2017;26.87;107.71;160.49;16.33;8.66
 28/02/2017;41.13;140.09;171.78;26.37;20.49
 28/03/2017;31.56;358.51;210.78;32.90;4.24
 28/04/2017;28.37;102.08;184.04;33.41;1.46
 28/05/2017;21.81;79.92;196.06;33.13;2.65
 28/06/2017;10.34;41.98;79.71;29.49;9.49
 28/07/2017;47.66;24.13;90.68;16.72;1.75
 28/08/2017;20.31;56.13;120.07;32.57;7.22
 28/09/2017;187.76;117.48;118.44;33.47;6.21
 28/10/2017;51.84;192.40;65.48;30.38;9.21
 28/11/2017;85.41;158.48;99.88;22.70;13.00
 28/12/2017;38.53;291.37;90.11;25.46;19.72
 29/01/2017;29.50;145.65;164.97;17.45;9.46
 29/03/2017;27.83;;249.80;34.20;4.85
 29/04/2017;33.37;116.57;188.66;34.19;2.46
 29/05/2017;25.83;64.40;212.67;31.00;3.93
 29/06/2017;11.18;51.83;119.53;24.02;11.91
 29/07/2017;122.20;46.63;218.33;30.45;3.05
 29/08/2017;20.57;53.27;127.63;33.77;7.31
 29/09/2017;NA;132.01;94.41;32.64;6.76
 29/10/2017;49.86;180.88;63.10;30.08;9.60
 29/11/2017;103.93;186.75;126.28;23.60;13.34
 29/12/2017;37.51;287.38;90.05;25.14;18.54
 30/01/2017;31.75;153.09;196.64;15.06;12.69
 30/03/2017;22.19;;102.60;31.41;5.73
 30/04/2017;21.14;96.83;229.89;33.63;1.44
 30/05/2017;27.38;77.22;189.89;33.25;3.53
 30/06/2017;26.75;49.56;102.99;35.03;13.79
 30/07/2017;100.78;43.74;1.50;33.46;2.96
 30/08/2017;20.87;65.97;123.89;34.38;7.42
 30/09/2017;43.16;114.57;96.49;32.43;5.84
 30/10/2017;46.32;171.68;66.48;29.59;8.98
 30/11/2017;53.97;244.72;138.57;23.10;14.41
 30/12/2017;19.97;283.34;93.77;24.91;24.49
 31/01/2017;39.08;244.25;202.34;15.94;13.49
 31/03/2017;28.20;;184.36;34.29;5.93
 31/05/2017;29.39;68.99;125.30;30.76;4.35
 31/07/2017;56.41;42.87;81.19;32.27;1.86
 31/08/2017;21.15;53.39;100.05;31.55;8.23
 31/10/2017;51.96;258.28;71.70;29.50;11.67
 31/12/2017;16.71;279.83;91.74;24.30;21.25
